epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.07783,1.15573,1.51918,1.22624,0.62206,0.54815,0.5892,0.44186,1.0894,1.13179,1.12444,8.33e-06,8.33e-06,8.33e-06
2,7.94719,1.20848,1.43503,1.24258,0.64522,0.54093,0.60344,0.45664,1.07299,1.10574,1.11517,1.72609e-05,1.72609e-05,1.72609e-05
3,10.8614,1.16106,1.36563,1.25248,0.6361,0.57953,0.62219,0.46974,1.06607,1.08213,1.11172,2.55636e-05,2.55636e-05,2.55636e-05
4,14.5896,1.16385,1.30953,1.22651,0.70759,0.55676,0.63561,0.48146,1.0576,1.04979,1.10684,3.32379e-05,3.32379e-05,3.32379e-05
5,17.5587,1.18706,1.31258,1.2629,0.61305,0.61872,0.65176,0.49672,1.05599,1.01735,1.10751,4.02839e-05,4.02839e-05,4.02839e-05
6,20.391,1.18302,1.28424,1.23053,0.65672,0.60931,0.66493,0.50521,1.05221,0.99397,1.10538,4.67016e-05,4.67016e-05,4.67016e-05
7,23.2521,1.08363,1.20351,1.19385,0.73469,0.592,0.67821,0.51933,1.04989,0.97573,1.10224,5.24909e-05,5.24909e-05,5.24909e-05
8,26.8446,1.12171,1.19905,1.20228,0.67474,0.63464,0.69503,0.53477,1.05034,0.96141,1.0969,5.76519e-05,5.76519e-05,5.76519e-05
9,29.9534,1.10155,1.10313,1.18437,0.69689,0.64062,0.70518,0.54643,1.03739,0.93755,1.08548,6.21846e-05,6.21846e-05,6.21846e-05
10,32.7022,1.06552,1.11726,1.15464,0.70094,0.65024,0.71038,0.55125,1.02715,0.91746,1.08023,6.6089e-05,6.6089e-05,6.6089e-05
11,35.5025,1.07218,1.09343,1.1671,0.71447,0.68033,0.72164,0.55607,1.0137,0.88687,1.07367,6.93651e-05,6.93651e-05,6.93651e-05
12,38.4853,1.0988,1.1283,1.17726,0.76449,0.65904,0.73383,0.56635,1.00853,0.86501,1.0719,7.20129e-05,7.20129e-05,7.20129e-05
13,41.9562,1.09185,1.07149,1.17722,0.76301,0.67081,0.74172,0.57542,0.99919,0.84722,1.0664,7.1876e-05,7.1876e-05,7.1876e-05
14,44.7343,1.03202,1.03921,1.15238,0.78862,0.66445,0.74835,0.58194,0.99209,0.83399,1.06414,6.7949e-05,6.7949e-05,6.7949e-05
15,47.578,1.04164,1.03483,1.13877,0.83314,0.66063,0.75611,0.5866,0.98076,0.818,1.05872,6.4022e-05,6.4022e-05,6.4022e-05
16,50.3547,1.10238,1.06652,1.16715,0.78693,0.70211,0.76185,0.5901,0.97497,0.79985,1.0543,6.0095e-05,6.0095e-05,6.0095e-05
17,55.0913,1.05196,1.06061,1.15834,0.80172,0.70133,0.7657,0.59442,0.96832,0.78484,1.05038,5.6168e-05,5.6168e-05,5.6168e-05
18,57.8286,1.04082,1.01836,1.13227,0.88151,0.66001,0.7669,0.5959,0.96073,0.77208,1.04527,5.2241e-05,5.2241e-05,5.2241e-05
19,60.8004,1.05527,0.98939,1.14449,0.88206,0.66028,0.76704,0.59721,0.9565,0.7603,1.04134,4.8314e-05,4.8314e-05,4.8314e-05
20,63.5662,1.02024,0.99084,1.14225,0.85735,0.67181,0.76795,0.59857,0.94857,0.75017,1.0369,4.4387e-05,4.4387e-05,4.4387e-05
21,69.5589,1.05334,1.05649,1.14299,0.85497,0.67477,0.76893,0.59852,0.94727,0.74761,1.03351,4.046e-05,4.046e-05,4.046e-05
22,72.3013,1.054,1.03203,1.12263,0.81768,0.70555,0.77197,0.60438,0.95253,0.74792,1.03511,3.6533e-05,3.6533e-05,3.6533e-05
23,75.0867,1.04157,1.02859,1.12561,0.81553,0.70292,0.7715,0.6051,0.95331,0.74839,1.03564,3.2606e-05,3.2606e-05,3.2606e-05
24,78.3745,1.01911,0.98652,1.10508,0.81815,0.69484,0.76867,0.60378,0.95551,0.75355,1.03806,2.8679e-05,2.8679e-05,2.8679e-05
25,81.4632,1.03612,0.99787,1.13189,0.81328,0.70132,0.77118,0.6078,0.95529,0.75179,1.03924,2.4752e-05,2.4752e-05,2.4752e-05
26,84.1847,1.02515,0.96606,1.11338,0.80507,0.70237,0.767,0.60547,0.95171,0.75,1.03763,2.0825e-05,2.0825e-05,2.0825e-05
27,86.8991,1.03006,0.9532,1.11661,0.8288,0.68978,0.77067,0.60732,0.94668,0.75097,1.03502,1.6898e-05,1.6898e-05,1.6898e-05
28,89.5683,1.03071,0.96743,1.11711,0.85018,0.67747,0.76746,0.60657,0.94565,0.75029,1.0349,1.2971e-05,1.2971e-05,1.2971e-05
29,93.3786,1.03117,0.9354,1.11138,0.83557,0.68784,0.76777,0.60949,0.94482,0.74591,1.03468,9.044e-06,9.044e-06,9.044e-06
30,96.0839,1.00902,0.97093,1.12438,0.85511,0.67597,0.76839,0.61076,0.9443,0.74623,1.03452,5.117e-06,5.117e-06,5.117e-06
